canonical_ligand_id,inchikey,mapping_status,component_ids,component_names,smiles_values,component_types,pdb_ids,notes
ligand:00Q,,component_fallback,00Q,"D-phenylalanyl-N-{(1S)-1-[(S)-1,3-benzothiazol-2-yl(hydroxy)methyl]-4-carbamimidamidobutyl}-L-prolinamide",,small_molecule,1TBZ,Fallback ligand identity anchored to component ID because InChIKey is missing.
ligand:03R,,component_fallback,03R,"2-({6-{3-[AMINO(IMINO)METHYL]PHENOXY}-3,5-DIFLUORO-4-[(1-METHYL-3-PHENYLPROPYL)AMINO]-2-PYRIDINYL}OXY)BENZOIC ACID",,small_molecule,2AEI,Fallback ligand identity anchored to component ID because InChIKey is missing.
ligand:041,,component_fallback,041,"2-(3-FLUORO-4-HYDROXYPHENYL)-7-VINYL-1,3-BENZOXAZOL-5-OL",,small_molecule,1X7B,Fallback ligand identity anchored to component ID because InChIKey is missing.
ligand:062,,component_fallback,062,"3-AZA-9-HYDROXY-9-FLUORENYLCARBONYL-L-PROLYL-2-AMINOMETHYL-5-CHLOROBENZYLAMIDE, N-OXIDE",,small_molecule,1ZRB,Fallback ligand identity anchored to component ID because InChIKey is missing.
ligand:0E7,,component_fallback,0E7,methyl N-(4-carbamimidamidobutanoyl)-L-phenylalanyl-L-allothreonyl-L-phenylalaninate,,small_molecule,1HDT,Fallback ligand identity anchored to component ID because InChIKey is missing.
ligand:0G6,,component_fallback,0G6,"D-phenylalanyl-N-[(2S,3S)-6-{[amino(iminio)methyl]amino}-1-chloro-2-hydroxyhexan-3-yl]-L-prolinamide",,small_molecule,1HAI; 1HAO; 1HAP; 1HLT; 1NRR; 1PFX; 1PPB; 1SFQ; 1SHH; 1THP; 1TMU; 1TQ7; 1XMN; 1Z8I; 1Z8J,Fallback ligand identity anchored to component ID because InChIKey is missing.
ligand:0G7,,component_fallback,0G7,D-phenylalanyl-N-[(3S)-6-carbamimidamido-1-chloro-2-oxohexan-3-yl]-L-prolinamide,,small_molecule,1HUT,Fallback ligand identity anchored to component ID because InChIKey is missing.
ligand:0GJ,,component_fallback,0GJ,L-alpha-glutamyl-N-{(1S)-4-{[amino(iminio)methyl]amino}-1-[(1S)-2-chloro-1-hydroxyethyl]butyl}glycinamide,,small_molecule,1LMW; 2B8O,Fallback ligand identity anchored to component ID because InChIKey is missing.
ligand:0Z6,,component_fallback,0Z6,"D-phenylalanyl-N-[(2S,3S)-6-{[amino(iminio)methyl]amino}-1-chloro-2-hydroxyhexan-3-yl]-L-phenylalaninamide",,small_molecule,1J9C; 1QFK,Fallback ligand identity anchored to component ID because InChIKey is missing.
ligand:0ZJ,,component_fallback,0ZJ,"N-(sulfanylacetyl)-D-phenylalanyl-N-[(2S,3S)-6-{[amino(iminio)methyl]amino}-1-chloro-2-hydroxyhexan-3-yl]-L-prolinamide",,small_molecule,1NU7; 1NU9,Fallback ligand identity anchored to component ID because InChIKey is missing.
ligand:0ZZ,,component_fallback,0ZZ,"5-S-benzyl-3-({N-[(5-bromo-2-methoxyphenyl)acetyl]-L-valyl}amino)-2,3-dideoxy-5-thio-D-erythro-pentonic acid",,small_molecule,1RHQ,Fallback ligand identity anchored to component ID because InChIKey is missing.
ligand:10LG:unknown,,scoped_name_fallback,,,,peptide,10LG,Scoped ligand fallback because neither InChIKey nor component ID was available.
ligand:112,,component_fallback,112,THIOPHOSPHORIC ACID O-((ADENOSYL-PHOSPHO)PHOSPHO)-S-ACETAMIDYL-DIESTER,,small_molecule,1RQQ,Fallback ligand identity anchored to component ID because InChIKey is missing.
ligand:130,,component_fallback,130,2-(2-HYDROXY-BIPHENYL)-1H-BENZOIMIDAZOLE-5-CARBOXAMIDINE,,small_molecule,1GJB; 1GJC,Fallback ligand identity anchored to component ID because InChIKey is missing.
ligand:132,,component_fallback,132,6-CHLORO-2-(2-HYDROXY-BIPHENYL-3-YL)-1H-INDOLE-5-CARBOXAMIDINE,,small_molecule,1GJ7; 1O5E,Fallback ligand identity anchored to component ID because InChIKey is missing.
ligand:133,,component_fallback,133,6-FLUORO-2-(2-HYDROXY-3-ISOBUTOXY-PHENYL)-1H-BENZOIMIDAZOLE-5-CARBOXAMIDINE,,small_molecule,1GJ8,Fallback ligand identity anchored to component ID because InChIKey is missing.
ligand:134,,component_fallback,134,6-FLUORO-2-[2-HYDROXY-3-(2-METHYL-CYCLOHEXYLOXY)-PHENYL]-1H-INDOLE-5-CARBOXAMIDINE,,small_molecule,1GJ9,Fallback ligand identity anchored to component ID because InChIKey is missing.
ligand:135,,component_fallback,135,N-(4-CARBAMIMIDOYL-PHENYL)-2-HYDROXY-BENZAMIDE,,small_molecule,1GJA,Fallback ligand identity anchored to component ID because InChIKey is missing.
ligand:136,,component_fallback,136,N-(4-CARBAMIMIDOYL-3-CHORO-PHENYL)-2-HYDROXY-3-IODO-5-METHYL-BENZAMIDE,,small_molecule,1GJD,Fallback ligand identity anchored to component ID because InChIKey is missing.
ligand:13P,,component_fallback,13P,"1,3-DIHYDROXYACETONEPHOSPHATE",,small_molecule,1K8Y,Fallback ligand identity anchored to component ID because InChIKey is missing.
ligand:141,,component_fallback,141,Oxypurinol,,small_molecule,1JRP,Fallback ligand identity anchored to component ID because InChIKey is missing.
ligand:148L:unknown,,scoped_name_fallback,,,,peptide,148L,Scoped ligand fallback because neither InChIKey nor component ID was available.
ligand:14A,,component_fallback,14A,N-ALLYL-5-AMIDINOAMINOOXY-PROPYLOXY-3-CHLORO-N-CYCLOPENTYLBENZAMIDE,,small_molecule,1T4V,Fallback ligand identity anchored to component ID because InChIKey is missing.
ligand:157,,component_fallback,157,6-(2-HYDROXY-CYCLOPENTYL)-7-OXO-HEPTANAMIDINE,,small_molecule,1QHR,Fallback ligand identity anchored to component ID because InChIKey is missing.
ligand:158,,component_fallback,158,3-(2-MERCAPTO-ACETYLAMINO)-4-OXO-PENTANOIC ACID,,small_molecule,1NME; 1RWK,Fallback ligand identity anchored to component ID because InChIKey is missing.
ligand:159,,component_fallback,159,2-HYDROXY-5-(2-MERCAPTO-ETHYLSULFAMOYL)-BENZOIC ACID,,small_molecule,1NME,Fallback ligand identity anchored to component ID because InChIKey is missing.
ligand:15P,,component_fallback,15P,POLYETHYLENE GLYCOL (N=34),,small_molecule,1NUN; 1TMG; 1TO2; 1Y1K; 1Y33; 1Y34; 1Y3B; 1Y3C; 1Y3D; 1Y3F; 1Y48; 1Y4A,Fallback ligand identity anchored to component ID because InChIKey is missing.
ligand:162,,component_fallback,162,(2-{2-[(5-CARBAMIMIDOYL-1-METHYL-1H-PYRROL-3-YLMETHYL)-CARBAMOYL]-PYRROL-1-YL} -1-CYCLOHEXYLMETHYL-2-OXO-ETHYLAMINO)-ACETIC ACID,,small_molecule,1NZQ,Fallback ligand identity anchored to component ID because InChIKey is missing.
ligand:163,,component_fallback,163,(2-{2-[(5-CARBAMIMIDOYL-1-METHYL-1H-PYRROL-2-YLMETHYL)-CARBAMOYL]-PYRROL-1-YL}- 1-CYCLOHEXYLMETHYL-2-OXO-ETHYLAMINO)-ACETIC ACID,,small_molecule,1O0D,Fallback ligand identity anchored to component ID because InChIKey is missing.
ligand:165,,component_fallback,165,"N-(BENZYLSULFONYL)-3-CYCLOHEXYLALANYL-N-(2-AMINO-1,3-BENZOTHIAZOL-6-YL)PROLINAMIDE",,small_molecule,1SB1,Fallback ligand identity anchored to component ID because InChIKey is missing.
ligand:166,,component_fallback,166,6-CARBAMIMIDOYL-2-[2-HYDROXY-6-(4-HYDROXY-PHENYL)-INDAN-1-YL]-HEXANOIC ACID,,small_molecule,1QJ1,Fallback ligand identity anchored to component ID because InChIKey is missing.
ligand:167,,component_fallback,167,6-CARBAMIMIDOYL-2-[2-HYDROXY-5-(3-METHOXY-PHENYL)-INDAN-1-YL]-HEXANOIC ACID,,small_molecule,1QJ6,Fallback ligand identity anchored to component ID because InChIKey is missing.
ligand:170,,component_fallback,170,"(2-[6-CHLORO-3-{[2,2-DIFLUORO-2-(1-OXIDOPYRIDIN-2-YL)ETHYL]AMINO}-2-OXOPYRAZIN-1(2H)-YL]-N-[5-CHLORO-2-(1H-TETRAZOL-1-YL)BENZYL]ACETAMIDE",,small_molecule,1SL3,Fallback ligand identity anchored to component ID because InChIKey is missing.
ligand:176,,component_fallback,176,"1-(2-AMINO-3,3-DIPHENYL-PROPIONYL)-PYRROLIDINE-3-CARBOXYLIC ACID 2,5-DICHLORO-BENZYLAMIDE",,small_molecule,1TA2,Fallback ligand identity anchored to component ID because InChIKey is missing.
ligand:177,,component_fallback,177,1-[2-AMINO-2-CYCLOHEXYL-ACETYL]-PYRROLIDINE-3-CARBOXYLIC ACID 5-CHLORO-2-(2-ETHYLCARBAMOYL-ETHOXY)-BENZYLAMIDE,,small_molecule,1TA6,Fallback ligand identity anchored to component ID because InChIKey is missing.
ligand:17M,,component_fallback,17M,17-METHYL-17-ALPHA-DIHYDROEQUILENIN,,small_molecule,2B1Z,Fallback ligand identity anchored to component ID because InChIKey is missing.
ligand:185,,component_fallback,185,"(6-[4-(AMINOMETHYL)-2,6-DIMETHYLPHENOXY]-2-{[4-(AMINOMETHYL)PHENYL]AMINO}-5-BROMOPYRIMIDIN-4-YL)METHANOL",,small_molecule,1SUQ,Fallback ligand identity anchored to component ID because InChIKey is missing.
ligand:187,,component_fallback,187,1-{3-[AMINO(IMINO)METHYL]PHENYL}-N-[4-(1H-BENZIMIDAZOL-1-YL)-2-FLUOROPHENYL]-3-(TRIFLUOROMETHYL)-1H-PYRAZOLE-5-CARBOXAMIDE,,small_molecule,1X7A,Fallback ligand identity anchored to component ID because InChIKey is missing.
ligand:196,,component_fallback,196,3-(3-FLUORO-4-HYDROXYPHENYL)-7-HYDROXY-1-NAPHTHONITRILE,,small_molecule,1YYE,Fallback ligand identity anchored to component ID because InChIKey is missing.
ligand:199,,component_fallback,199,"N-{5-[4-(4-METHYLPIPERAZIN-1-YL)PHENYL]-1H-PYRROLO[2,3-B]PYRIDIN-3-YL}NICOTINAMIDE",,small_molecule,1ZYS,Fallback ligand identity anchored to component ID because InChIKey is missing.
ligand:1A02:unknown,,scoped_name_fallback,,,,nucleic_acid,1A02,Scoped ligand fallback because neither InChIKey nor component ID was available.
ligand:1A07:unknown,,scoped_name_fallback,,,,peptide,1A07,Scoped ligand fallback because neither InChIKey nor component ID was available.
ligand:1A08:unknown,,scoped_name_fallback,,,,peptide,1A08,Scoped ligand fallback because neither InChIKey nor component ID was available.
ligand:1A09:unknown,,scoped_name_fallback,,,,peptide,1A09,Scoped ligand fallback because neither InChIKey nor component ID was available.
